id,question,hop_count,reasoning_path,variant_type
1,"Lương Cường là tiền nhiệm của Lê Đức Anh trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Lê Đức Anh tham gia chiến dịch Trận Hà Nội 1946. Đúng hay sai?",2,"[""pol3161938"", ""PRECEDED"", ""pol41586"", ""FOUGHT_IN"", ""cam867_004""]",Normal
2,"Trần Lưu Quang là tiền nhiệm của Phan Văn Mãi trong chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh, Phan Văn Mãi sinh năm 1973. Đúng hay sai?",2,"[""pol798260"", ""PRECEDED"", ""pol3340042"", ""BORN_YEAR"", ""YEAR_1973""]",Normal
3,"Quản Minh Cường là tiền nhiệm của Nguyễn Văn Trăm trong chức vụ Phó Trưởng Ban Tổ chức Trung ương, Nguyễn Văn Trăm kế nhiệm Tô Huy Rứa trong chức vụ Trưởng ban Tổ chức Trung ương, Tô Huy Rứa có học vị Tiến sĩ Triết học. Đúng hay sai?",3,"[""pol19777570"", ""PRECEDED"", ""pol3241631"", ""SUCCEEDED"", ""pol318392"", ""HAS_ACADEMIC_TITLE"", ""aca318392_001""]",Normal
4,"Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng là tiền nhiệm của Nguyễn Đắc Vinh trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, Nguyễn Đắc Vinh giữ chức vụ Chủ tịch Trung ương Hội Sinh viên Việt Nam từ 2009-02-16 đến 2013-12-28. Đúng hay sai?",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""PRECEDED"", ""pol660401"", ""TERM_DURATION"", ""DURATION_từ 2009-02-16 đến 2013-12-28""]",Normal
5,"Nguyễn Thanh Nghị kế nhiệm Trần Lưu Quang trong chức vụ Trưởng Ban Chính sách, Chiến lược Trung ương, Trần Lưu Quang là tiền nhiệm của Nguyễn Kim Khoa trong chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh, Nguyễn Kim Khoa sinh năm 1973. Đúng hay sai?",3,"[""pol592361"", ""SUCCEEDED"", ""pol798260"", ""PRECEDED"", ""pol1463311"", ""BORN_YEAR"", ""YEAR_1973""]",Normal
6,"Trần Lưu Quang là tiền nhiệm của Phạm Viết Thanh trong chức vụ Bí thư Tỉnh ủy Tây Ninh, Phạm Viết Thanh giữ chức vụ Bí thư Tỉnh ủy Tây Ninh từ 2019-02-28 đến 2020-07-30. Đúng hay sai?",2,"[""pol798260"", ""PRECEDED"", ""pol3702677"", ""TERM_DURATION"", ""DURATION_từ 2019-02-28 đến 2020-07-30""]",Normal
7,"Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Nguyễn Xuân Phúc trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Nguyễn Xuân Phúc giữ chức vụ Phó Tổng Thanh tra Chính phủ từ 2006-03 đến 2006-05. Đúng hay sai?",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2006-03 đến 2006-05""]",Normal
8,"Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng là tiền nhiệm của Nguyễn Chí Vịnh trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, Nguyễn Chí Vịnh giữ chức vụ Đại biểu Quốc hội khóa XIII, XIV, XV từ 2011-05-22 đến nay. Đúng hay sai?",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""PRECEDED"", ""pol59548"", ""TERM_DURATION"", ""DURATION_từ 2011-05-22 đến nay""]",Normal
9,"Quản Minh Cường là tiền nhiệm của Phạm Minh Chính trong chức vụ Phó Trưởng Ban Tổ chức Trung ương, Phạm Minh Chính kế nhiệm Tô Huy Rứa trong chức vụ Trưởng ban Tổ chức Trung ương, Tô Huy Rứa có học vị 'Thạc sĩ'. Đúng hay sai?",3,"[""pol19777570"", ""PRECEDED"", ""pol436788"", ""SUCCEEDED"", ""pol318392"", ""HAS_ACADEMIC_TITLE"", ""aca3698506_003""]",Normal
10,"Võ Thị Ánh Xuân kế nhiệm Đặng Thị Ngọc Thịnh trong chức vụ Phó Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Đặng Thị Ngọc Thịnh kế nhiệm Nguyễn Thị Doan trong chức vụ Phó Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Nguyễn Thị Doan sinh năm 1951 tại Hà Nam. Đúng hay sai?",3,"[""pol3280810"", ""SUCCEEDED"", ""pol1463457"", ""SUCCEEDED"", ""pol110161"", ""BORN_AT"", ""loc591117_001""]",Normal
