id,answer
1,Đúng
2,Đúng
3,Đúng
4,Sai
5,Đúng
6,Sai
7,Đúng
8,Sai
9,Sai
10,Đúng
11,Đúng
12,Đúng
13,Đúng
14,Đúng
15,Sai
16,Sai
17,Đúng
18,Đúng
19,Đúng
20,Sai
21,Đúng
22,Đúng
23,Đúng
24,Sai
25,Đúng
26,Sai
27,Đúng
28,Sai
29,Sai
30,Đúng
31,Đúng
32,Sai
33,Đúng
34,Sai
35,Đúng
36,Sai
37,Đúng
38,Sai
39,Đúng
40,Sai
41,Đúng
42,Sai
43,Đúng
44,Sai
45,Đúng
46,Sai
47,Đúng
48,Sai
49,Sai
50,Sai
51,Đúng
52,Sai
53,Đúng
54,Sai
55,Sai
56,Đúng
57,Sai
58,Sai
59,Đúng
60,Đúng
61,Đúng
62,Sai
63,Đúng
64,Sai
65,Đúng
66,Sai
67,Đúng
68,Sai
69,Đúng
70,Sai
71,Đúng
72,Sai
73,Đúng
74,Sai
75,Đúng
76,Đúng
77,Sai
78,Sai
79,Đúng
80,Sai
81,Đúng
82,Sai
83,Sai
84,Sai
85,Đúng
86,Đúng
87,Đúng
88,Sai
89,Đúng
90,Đúng
91,Đúng
92,Sai
93,Đúng
94,Sai
95,Sai
96,Sai
97,Đúng
98,Sai
99,Đúng
100,Sai
101,Sai
102,Sai
103,Đúng
104,Đúng
105,Đúng
106,Sai
107,Đúng
108,Sai
109,Sai
110,Đúng
111,Sai
112,Sai
113,Sai
114,Sai
115,Sai
116,Đúng
117,Đúng
118,Sai
119,Đúng
120,Sai
121,Đúng
122,Sai
123,Sai
124,Đúng
125,Đúng
126,Sai
127,Đúng
128,Sai
129,Đúng
130,Sai
131,Đúng
132,Sai
133,Đúng
134,Đúng
135,Đúng
136,Sai
137,Đúng
138,Đúng
139,Đúng
140,Đúng
141,Đúng
142,Sai
143,Đúng
144,Sai
145,Đúng
146,Sai
147,Đúng
148,Sai
149,Đúng
150,Đúng
151,Đúng
152,Đúng
153,Đúng
154,Sai
155,Đúng
156,Đúng
157,Sai
158,Sai
159,Sai
160,Sai
161,Đúng
162,Đúng
163,Đúng
164,Đúng
165,Đúng
166,Sai
167,Đúng
168,Sai
169,Sai
170,Đúng
171,Đúng
172,Sai
173,Đúng
174,Sai
175,Sai
176,Đúng
177,Đúng
178,Sai
179,Sai
180,Sai
181,Đúng
182,Sai
183,Đúng
184,Sai
185,Đúng
186,Sai
187,Đúng
188,Đúng
189,Đúng
190,Sai
191,Sai
192,Sai
193,Sai
194,Sai
195,Đúng
196,Sai
197,Đúng
198,Sai
199,Đúng
200,Sai
201,Đúng
202,Đúng
203,Đúng
204,Sai
205,Sai
206,Sai
207,Đúng
208,Đúng
209,Đúng
210,Sai
211,Đúng
212,Sai
213,Sai
214,Sai
215,Đúng
216,Đúng
217,Sai
218,Đúng
219,Sai
220,Đúng
221,Đúng
222,Đúng
223,Đúng
224,Sai
225,Đúng
226,Sai
227,Đúng
228,Sai
229,Sai
230,Sai
231,Đúng
232,Sai
233,Đúng
234,Sai
235,Đúng
236,Sai
237,Đúng
238,Đúng
239,Đúng
240,Sai
241,Đúng
242,Sai
243,Đúng
244,Đúng
245,Đúng
246,Sai
247,Đúng
248,Sai
249,Đúng
250,Sai
251,Đúng
252,Sai
253,Đúng
254,Sai
255,Đúng
256,Đúng
257,Đúng
258,Sai
259,Đúng
260,Đúng
261,Đúng
262,Sai
263,Đúng
264,Sai
265,Đúng
266,Sai
267,Đúng
268,Đúng
269,Đúng
270,Sai
271,Sai
272,Đúng
273,Sai
274,Đúng
275,Đúng
276,Đúng
277,Sai
278,Đúng
279,Đúng
280,Sai
281,Đúng
282,Sai
283,Sai
284,Đúng
285,Đúng
286,Sai
287,Đúng
288,Sai
289,Đúng
290,Đúng
291,Sai
292,Sai
293,Đúng
294,Sai
295,Sai
296,Sai
297,Đúng
298,Sai
299,Đúng
300,Sai
301,Đúng
302,Đúng
303,Sai
304,Đúng
305,Sai
306,Sai
307,Đúng
308,Đúng
309,Đúng
310,Sai
311,Sai
312,Sai
313,Sai
314,Sai
315,Đúng
316,Sai
317,Đúng
318,Đúng
319,Đúng
320,Đúng
321,Đúng
322,Đúng
323,Sai
324,Sai
325,Đúng
326,Sai
327,Đúng
328,Đúng
329,Đúng
330,Đúng
331,Đúng
332,Sai
333,Đúng
334,Sai
335,Sai
336,Đúng
337,Đúng
338,Sai
339,Đúng
340,Sai
341,Đúng
342,Đúng
343,Sai
344,Đúng
345,Sai
346,Sai
347,Đúng
348,Sai
349,Sai
350,Sai
351,Sai
352,Đúng
353,Đúng
354,Sai
355,Đúng
356,Đúng
357,Đúng
358,Đúng
359,Đúng
360,Đúng
361,Sai
362,Sai
363,Đúng
364,Đúng
365,Sai
366,Đúng
367,Sai
368,Đúng
369,Sai
370,Đúng
371,Sai
372,Sai
373,Đúng
374,Sai
375,Đúng
376,Sai
377,Sai
378,Sai
379,Sai
380,Sai
381,Đúng
382,Sai
383,Sai
384,Sai
385,Đúng
386,Sai
387,Đúng
388,Đúng
389,Sai
390,Sai
391,Sai
392,Đúng
393,Đúng
394,Sai
395,Đúng
396,Sai
397,Sai
398,Đúng
399,Đúng
400,Sai
401,Đúng
402,Sai
403,Đúng
404,Sai
405,Đúng
406,Sai
407,Sai
408,Sai
409,Đúng
410,Sai
411,Đúng
412,Sai
413,Đúng
414,Đúng
415,Đúng
416,Sai
417,Sai
418,Đúng
419,Đúng
420,Sai
421,Đúng
422,Sai
423,Đúng
424,Đúng
425,Đúng
426,Đúng
427,Đúng
428,Sai
429,Sai
430,Đúng
431,Đúng
432,Đúng
433,Sai
434,Sai
435,Đúng
436,Sai
437,Đúng
438,Đúng
439,Sai
440,Sai
441,Đúng
442,Sai
443,Sai
444,Sai
445,Đúng
446,Sai
447,Đúng
448,Sai
449,Sai
450,Đúng
451,Đúng
452,Đúng
453,Sai
454,Sai
455,Đúng
456,Sai
