id,question,hop_count,reasoning_path,variant_type
1,"Nông Đức Mạnh kế nhiệm Lê Khả Phiêu trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Quân ủy Trung ương, Lê Khả Phiêu tham gia chiến dịch Chiến dịch Trung Du. Đúng hay sai?",2,"[""pol6293"", ""SUCCEEDED"", ""pol24330"", ""FOUGHT_IN"", ""cam8349_002""]",Normal
2,"Trần Thị Nguyệt Thu là tiền nhiệm của Phan Thị Thanh Tâm trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Nguyễn Xuân Phúc trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Nguyễn Xuân Phúc giữ chức vụ Chủ tịch Hội nghị cấp cao ASEAN từ 2020 đến 2020-12-31. Đúng hay sai?",4,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2020 đến 2020-12-31""]",Normal
3,"Lương Cường là tiền nhiệm của Lê Đức Anh trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Lê Đức Anh tham gia chiến dịch Trận Hà Nội 1946. Đúng hay sai?",2,"[""pol3161938"", ""PRECEDED"", ""pol41586"", ""FOUGHT_IN"", ""cam867_004""]",Normal
4,"Lương Cường là tiền nhiệm của Lê Đức Anh trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Lê Đức Anh tham gia chiến dịch Chiến dịch Đường 14-Phước Long. Đúng hay sai?",2,"[""pol3161938"", ""PRECEDED"", ""pol41586"", ""FOUGHT_IN"", ""cam41586_002""]",Normal
5,"Nguyễn Xuân Đông là tiền nhiệm của Hoàng Nghĩa Mai trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Hà Nam, Hoàng Nghĩa Mai được trao tặng Huân chương Lao động hạng Nhì. Đúng hay sai?",2,"[""pol3711586"", ""PRECEDED"", ""pol15406891"", ""AWARDED"", ""awa436788_001""]",Normal
6,"Trần Lưu Quang là tiền nhiệm của Phan Văn Mãi trong chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh, Phan Văn Mãi sinh năm 1973. Đúng hay sai?",2,"[""pol798260"", ""PRECEDED"", ""pol3340042"", ""BORN_YEAR"", ""YEAR_1973""]",Normal
7,"Quản Minh Cường là tiền nhiệm của Nguyễn Văn Trăm trong chức vụ Phó Trưởng Ban Tổ chức Trung ương, Nguyễn Văn Trăm kế nhiệm Tô Huy Rứa trong chức vụ Trưởng ban Tổ chức Trung ương, Tô Huy Rứa có học vị Tiến sĩ Triết học. Đúng hay sai?",3,"[""pol19777570"", ""PRECEDED"", ""pol3241631"", ""SUCCEEDED"", ""pol318392"", ""HAS_ACADEMIC_TITLE"", ""aca318392_001""]",Normal
8,"Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng là tiền nhiệm của Nguyễn Đắc Vinh trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, Nguyễn Đắc Vinh giữ chức vụ Chủ tịch Trung ương Hội Sinh viên Việt Nam từ 2009-02-16 đến 2013-12-28. Đúng hay sai?",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""PRECEDED"", ""pol660401"", ""TERM_DURATION"", ""DURATION_từ 2009-02-16 đến 2013-12-28""]",Normal
9,"Nguyễn Thanh Nghị kế nhiệm Trần Lưu Quang trong chức vụ Trưởng Ban Chính sách, Chiến lược Trung ương, Trần Lưu Quang là tiền nhiệm của Nguyễn Kim Khoa trong chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh, Nguyễn Kim Khoa sinh năm 1973. Đúng hay sai?",3,"[""pol592361"", ""SUCCEEDED"", ""pol798260"", ""PRECEDED"", ""pol1463311"", ""BORN_YEAR"", ""YEAR_1973""]",Normal
10,"Hoàng Văn Thái kế nhiệm Chu Huy Mân trong chức vụ Tư lệnh Quân khu 5, Chu Huy Mân tham gia chiến dịch Chiến dịch Biên giới thu đông 1950. Đúng hay sai?",2,"[""pol8349"", ""SUCCEEDED"", ""pol42320"", ""FOUGHT_IN"", ""cam42320_001""]",Normal
11,"Phạm Minh Chính là tiền nhiệm của Đặng Thai Mai trong chức vụ Bí thư Tỉnh ủy Quảng Ninh, Đặng Thai Mai sinh năm 1959. Đúng hay sai?",2,"[""pol436788"", ""PRECEDED"", ""pol19044"", ""BORN_YEAR"", ""YEAR_1959""]",Normal
12,"Trần Lưu Quang là tiền nhiệm của Phạm Viết Thanh trong chức vụ Bí thư Tỉnh ủy Tây Ninh, Phạm Viết Thanh giữ chức vụ Bí thư Tỉnh ủy Tây Ninh từ 2019-02-28 đến 2020-07-30. Đúng hay sai?",2,"[""pol798260"", ""PRECEDED"", ""pol3702677"", ""TERM_DURATION"", ""DURATION_từ 2019-02-28 đến 2020-07-30""]",Normal
13,"Phan Như Lâm kế nhiệm Trần Thị Trung Chiến trong chức vụ Chủ tịch Hội đồng Nhân dân Tp Đà Nẵng, Trần Thị Trung Chiến mất năm 2016. Đúng hay sai?",2,"[""pol15075013"", ""SUCCEEDED"", ""pol435051"", ""DIED_YEAR"", ""YEAR_2016""]",Normal
14,"Phan Thị Thanh Tâm là tiền nhiệm của Võ Văn Thưởng trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, Võ Văn Thưởng kế nhiệm Nguyễn Xuân Phúc trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, Nguyễn Xuân Phúc giữ chức vụ Phó Tổng Thanh tra Chính phủ từ 2006-03 đến 2006-05. Đúng hay sai?",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2006-03 đến 2006-05""]",Normal
