id,answer
1,C
2,C
3,A
4,B
5,B
6,C
7,B
8,D
9,B
10,A
11,C
12,B
13,C
14,D
15,D
16,B
17,B
18,B
19,D
20,B
21,A
22,C
23,C
24,D
25,D
26,D
27,B
28,B
29,D
30,A
31,D
32,A
33,C
34,D
35,B
36,B
37,C
38,C
39,B
40,B
41,C
42,B
43,C
44,B
45,A
46,B
47,D
48,A
49,D
50,B
51,A
52,D
53,A
54,B
55,C
56,C
57,B
58,D
59,C
60,C
61,D
62,C
63,D
64,B
65,C
66,B
67,D
68,B
69,A
70,C
71,D
72,D
73,C
74,D
75,D
76,D
77,A
78,C
79,D
80,D
81,D
82,C
83,C
84,B
85,B
86,B
87,A
88,C
89,A
90,B
91,C
92,A
93,D
94,D
95,C
96,D
97,B
98,B
99,A
100,C
101,B
102,B
103,D
104,A
105,C
106,C
107,A
108,C
109,B
110,B
111,D
112,A
113,B
114,C
115,A
116,D
117,D
118,D
119,B
120,A
121,C
122,D
123,D
124,D
125,B
126,A
127,B
128,A
129,C
130,C
131,D
132,B
133,A
134,A
135,C
136,C
137,D
138,A
139,B
140,A
141,C
142,A
143,A
144,B
145,D
146,B
147,C
148,A
149,C
150,B
151,B
152,D
153,B
154,A
155,D
156,C
157,D
158,D
159,A
160,C
161,C
162,D
163,C
164,D
165,C
166,C
167,D
168,C
169,A
170,A
171,B
172,A
173,A
174,A
175,B
176,B
177,A
178,A
179,B
180,C
181,C
182,D
183,B
184,C
185,C
186,A
187,D
188,C
189,D
190,C
191,C
192,C
193,D
194,A
195,B
196,C
197,C
198,C
199,C
200,B
201,B
202,D
203,C
204,B
205,A
206,C
207,B
208,D
209,D
210,C
211,B
212,D
213,D
214,A
215,C
216,D
217,C
218,D
219,B
220,C
221,B
222,C
223,A
224,C
225,B
226,D
227,A
228,B
229,D
230,B
231,B
232,B
233,D
234,D
235,C
236,C
237,B
238,B
239,C
240,B
241,C
242,A
243,B
244,C
245,A
246,C
247,D
248,B
249,D
250,B
251,D
252,D
253,D
254,A
255,B
256,D
257,A
258,A
259,D
260,B
261,B
262,B
263,A
264,B
265,C
266,C
267,D
268,A
269,A
270,D
271,B
272,A
273,D
274,D
275,B
276,B
277,A
278,B
279,A
280,C
281,D
282,D
283,D
284,A
285,C
286,B
287,C
288,B
289,C
290,C
291,B
292,C
293,A
294,C
295,A
296,A
297,D
298,D
299,B
300,A
301,A
302,C
303,D
304,B
305,D
306,A
307,B
308,A
309,A
310,C
311,B
312,C
313,A
314,B
315,B
316,A
317,A
318,B
319,B
320,A
321,C
322,A
323,D
324,D
325,B
326,D
327,B
328,A
329,B
330,A
331,D
332,D
333,C
334,A
335,B
336,A
337,C
338,C
339,D
340,B
341,A
342,A
343,D
344,D
345,C
346,B
347,B
348,C
349,D
350,A
351,A
352,C
353,D
354,A
355,B
356,B
357,C
358,C
359,A
360,A
361,C
362,B
363,A
364,C
365,C
366,D
367,A
368,B
369,A
370,C
371,C
372,D
373,D
374,B
375,D
376,C
377,A
378,D
379,C
380,B
381,C
382,A
383,B
384,C
385,A
386,B
387,A
388,D
389,B
390,A
391,B
392,D
393,B
394,B
395,B
396,D
397,B
398,C
399,A
400,D
401,C
402,A
403,A
404,B
405,B
406,C
407,D
408,D
409,C
410,A
411,B
412,C
413,B
414,D
415,C
416,A
417,D
418,C
419,B
420,C
421,A
422,C
423,A
424,C
425,A
426,A
427,D
428,A
429,D
430,B
431,D
432,A
433,A
434,B
435,A
436,C
437,B
438,A
439,C
440,C
441,B
442,B
443,B
444,C
445,C
446,D
447,A
448,A
449,A
450,D
451,A
452,A
453,D
454,D
455,D
456,C
457,A
458,D
459,A
460,D
461,A
462,B
463,D
464,D
465,C
466,D
467,D
468,B
469,C
470,D
471,A
472,C
473,D
474,D
475,B
476,C
477,A
478,D
479,A
480,A
481,C
482,A
483,B
484,A
485,B
486,C
487,B
488,A
489,D
490,B
491,D
492,A
493,B
494,C
495,B
496,C
497,B
498,D
499,A
500,A
501,A
502,B
503,B
504,D
505,B
506,D
507,C
508,C
509,C
510,B
511,D
512,C
513,C
514,D
515,B
516,C
517,D
518,C
519,D
520,A
521,A
522,C
523,A
524,D
525,D
526,C
527,A
528,C
529,C
530,C
531,C
532,A
533,C
534,C
535,C
536,A
537,B
538,D
539,D
540,B
541,A
542,B
543,C
544,A
545,B
546,A
547,B
548,D
549,A
550,C
551,B
552,D
553,D
554,B
555,C
556,B
557,A
558,B
559,D
560,A
561,D
562,C
563,D
564,A
565,D
566,D
567,A
568,B
569,A
570,B
571,A
572,D
573,B
574,A
575,B
576,B
577,D
578,D
579,D
580,B
581,D
582,A
583,C
584,C
585,A
586,C
587,D
588,C
589,B
590,C
591,C
592,C
593,A
594,D
595,D
596,A
597,A
598,B
599,A
600,B
601,C
602,C
603,D
604,C
605,B
606,A
607,B
608,C
609,A
610,B
611,C
612,A
613,C
614,D
615,C
616,A
617,D
618,C
619,C
620,C
621,D
622,A
623,D
624,B
625,C
626,B
627,D
628,C
629,C
630,B
631,B
632,D
633,A
634,A
635,D
636,B
637,C
638,B
639,B
640,A
641,D
642,D
643,D
644,D
645,B
646,D
647,A
648,B
649,C
650,B
651,C
652,B
653,C
654,A
655,A
656,A
657,B
658,B
659,D
660,C
661,D
662,B
663,A
664,A
665,C
666,C
667,A
668,B
669,B
670,C
671,A
672,D
673,B
674,C
675,B
676,B
677,D
678,D
679,A
680,D
681,A
682,B
683,A
684,C
685,D
686,D
687,D
688,A
689,A
690,C
691,A
692,D
693,C
694,A
695,C
696,B
697,D
698,A
699,D
700,A
701,C
702,A
703,C
704,C
705,B
706,D
707,C
708,D
709,D
710,A
711,A
712,A
713,D
714,C
715,A
716,C
717,D
718,A
719,B
720,C
721,B
722,B
723,D
724,B
725,A
726,C
727,A
728,A
729,D
730,B
731,A
732,A
733,B
734,D
735,A
736,C
737,B
738,D
739,D
740,B
741,B
742,D
743,D
744,C
745,C
746,D
747,A
748,A
749,D
750,C
751,A
752,D
753,B
754,C
755,A
756,B
757,C
758,C
759,B
760,B
761,D
762,D
763,B
764,C
765,A
766,A
767,D
768,A
769,A
770,C
771,D
772,B
773,D
774,C
775,C
776,D
777,C
778,C
779,B
780,B
781,A
782,C
783,A
784,B
785,B
786,A
787,D
788,C
789,B
790,C
791,C
792,B
793,B
794,D
795,D
796,A
797,A
798,D
799,A
800,A
801,D
802,A
803,D
804,C
805,A
806,C
807,D
808,A
809,B
810,B
811,A
812,A
813,A
814,A
815,D
816,A
817,C
818,A
819,B
820,A
821,D
822,C
823,D
824,B
825,D
826,B
827,C
828,C
829,D
830,C
831,C
832,A
833,B
834,B
835,C
836,C
837,A
838,D
839,C
840,D
841,D
842,D
843,A
844,D
845,A
846,A
847,A
848,A
849,B
850,B
851,A
852,B
853,B
854,D
855,A
856,D
857,A
858,C
859,D
860,D
861,A
862,C
863,C
864,C
865,A
866,D
867,C
868,B
869,B
870,D
871,B
872,B
873,D
874,B
875,A
876,D
877,B
878,A
879,D
880,A
881,D
882,D
883,A
884,B
885,D
886,A
887,C
888,A
889,D
890,C
891,D
892,B
893,B
894,D
895,A
896,C
897,B
898,B
899,A
900,B
901,D
902,C
903,B
904,A
905,A
906,D
907,D
908,C
909,C
910,D
911,B
912,B
913,A
914,B
915,C
916,B
917,B
918,D
919,B
920,A
921,C
922,C
923,D
924,A
925,A
926,C
927,D
928,B
929,D
930,D
931,B
932,B
933,B
934,B
935,C
936,C
937,A
938,B
939,A
940,A
941,D
942,D
943,D
944,A
945,A
946,C
947,B
948,C
949,B
950,B
951,C
952,B
953,B
954,A
955,A
956,B
957,A
958,D
959,C
960,C
961,B
962,D
963,A
964,B
965,B
966,D
967,A
968,A
969,A
970,B
971,A
972,B
973,A
974,C
975,A
976,D
977,A
978,D
979,D
980,A
981,C
982,C
983,C
984,D
985,C
986,D
987,B
988,A
989,A
990,D
991,C
992,B
993,B
994,C
995,A
996,A
997,A
998,A
999,A
1000,B
1001,D
1002,D
1003,C
1004,A
1005,B
1006,A
1007,D
1008,D
1009,A
1010,C
1011,D
1012,C
1013,D
1014,A
1015,C
1016,B
1017,C
1018,B
1019,C
1020,D
1021,D
1022,C
1023,D
1024,A
1025,B
1026,A
1027,B
1028,C
1029,D
1030,D
1031,C
1032,D
1033,C
1034,B
1035,A
1036,B
1037,D
1038,A
1039,D
1040,C
1041,D
1042,D
1043,C
1044,A
1045,A
1046,A
1047,B
1048,B
1049,A
1050,D
1051,A
1052,C
1053,C
1054,C
1055,B
1056,B
1057,D
1058,D
1059,B
1060,C
1061,B
1062,A
1063,C
1064,B
1065,B
1066,A
1067,B
1068,D
1069,A
1070,C
1071,B
1072,C
1073,C
1074,D
1075,D
1076,C
1077,D
1078,C
1079,C
1080,A
1081,A
1082,D
1083,D
1084,B
1085,B
1086,D
1087,A
1088,D
1089,A
1090,D
1091,A
1092,C
1093,D
1094,D
1095,B
1096,C
1097,D
1098,A
1099,C
1100,A
1101,A
1102,B
1103,D
1104,C
1105,B
1106,B
1107,C
1108,B
1109,D
1110,D
1111,D
1112,C
1113,B
1114,A
1115,A
1116,D
1117,B
1118,D
1119,A
1120,B
1121,C
1122,C
1123,C
1124,A
1125,D
1126,A
1127,A
1128,C
1129,B
1130,C
1131,B
1132,B
1133,A
1134,B
1135,A
1136,B
1137,C
1138,C
1139,B
1140,D
1141,C
1142,B
1143,A
1144,B
1145,B
1146,C
1147,D
1148,D
1149,A
1150,D
1151,C
1152,B
1153,D
1154,A
1155,B
1156,B
1157,B
1158,C
1159,D
1160,A
1161,A
1162,C
1163,D
1164,C
1165,C
1166,A
1167,C
1168,C
1169,C
1170,D
1171,D
1172,A
1173,C
1174,D
1175,C
1176,A
1177,B
1178,B
1179,B
1180,A
1181,C
1182,D
1183,C
1184,D
1185,D
1186,D
1187,D
1188,A
1189,C
1190,B
1191,C
1192,C
1193,B
1194,B
1195,A
1196,B
1197,C
1198,B
1199,C
1200,A
1201,D
1202,B
1203,A
1204,B
1205,A
1206,B
1207,C
1208,C
1209,B
1210,D
1211,B
1212,C
1213,B
1214,B
1215,B
1216,D
1217,D
1218,D
1219,D
1220,A
1221,D
1222,B
1223,D
1224,C
1225,D
1226,D
1227,B
1228,D
1229,C
1230,A
1231,C
1232,A
1233,B
1234,D
1235,D
1236,A
1237,A
1238,C
1239,C
1240,C
1241,C
1242,A
1243,C
1244,A
1245,A
1246,D
1247,C
1248,A
1249,A
1250,B
1251,D
1252,D
1253,B
1254,B
1255,B
1256,C
1257,B
1258,D
1259,A
1260,C
1261,A
1262,C
1263,D
1264,D
1265,D
1266,D
1267,A
1268,D
1269,C
