id,answer
1,C
2,A
3,D
4,B
5,D
6,C
7,A
8,D
9,B
10,C
11,C
12,D
13,B
14,A
15,C
16,A
17,C
18,C
19,A
20,D
21,C
22,D
23,A
24,A
25,B
26,B
27,C
28,A
29,D
30,D
31,C
32,B
33,C
34,B
35,A
36,C
37,C
38,A
39,B
40,C
41,A
42,D
43,C
44,A
45,D
46,B
47,A
48,C
49,A
50,C
51,B
52,A
53,A
54,D
55,C
56,A
57,C
58,D
59,C
60,B
61,A
62,C
63,A
64,B
65,D
66,B
67,C
68,D
69,A
70,D
71,B
72,C
73,D
74,B
75,A
76,A
77,C
78,A
79,D
80,C
81,D
82,B
83,A
84,D
85,C
86,A
87,B
88,C
89,A
90,B
91,C
92,A
93,D
94,C
95,A
96,D
97,B
98,A
99,B
100,C
101,D
102,B
103,C
104,A
105,D
106,B
107,A
108,C
109,B
110,C
111,A
112,D
113,B
114,B
115,D
116,A
117,D
118,A
119,C
120,B
121,D
122,B
123,A
124,B
125,C
126,B
127,A
128,B
129,D
130,D
131,A
132,B
133,A
134,D
135,C
136,C
137,B
138,D
139,C
140,A
141,A
142,D
143,A
144,D
145,C
146,B
147,B
148,C
149,A
150,A
151,B
152,A
153,B
154,C
155,B
156,B
157,D
158,A
159,C
160,C
161,D
162,B
163,A
164,D
165,A
166,C
167,C
168,A
169,B
170,D
171,C
172,C
173,D
174,B
175,A
176,B
177,D
178,A
179,C
180,B
181,A
182,B
183,C
184,B
185,C
186,B
187,D
188,A
189,C
190,B
191,A
192,D
193,A
194,D
195,C
196,C
197,D
198,B
199,A
200,A
201,D
202,B
203,C
204,B
205,B
206,A
207,D
208,A
209,B
210,D
211,C
212,B
213,A
214,D
215,D
216,C
217,A
218,B
219,A
220,B
221,B
222,D
223,C
224,A
225,B
226,C
227,A
228,D
229,C
230,B
231,A
232,D
233,A
234,C
235,D
236,A
237,D
238,C
239,A
240,B
241,C
242,A
243,D
244,C
245,C
246,B
247,A
248,B
249,A
250,A
251,D
252,C
253,B
254,B
255,A
256,B
257,B
258,D
259,C
260,B
261,C
262,D
263,A
264,B
265,C
266,A
267,D
268,A
269,C
270,B
271,B
272,C
273,D
274,A
275,D
276,A
277,C
278,C
279,D
280,B
281,A
282,B
283,D
284,D
285,C
286,C
287,A
288,D
289,A
290,B
291,B
292,C
293,A
294,C
295,D
296,B
297,D
298,A
299,C
300,A
301,D
302,A
303,C
304,B
305,A
306,C
307,C
308,A
309,D
310,B
311,A
312,D
313,B
314,D
315,B
316,C
317,D
318,A
319,D
320,A
321,C
322,D
323,B
324,C
325,A
326,B
327,D
328,A
329,B
330,D
331,B
332,C
333,C
334,A
335,C
336,D
337,C
338,A
339,B
340,C
341,D
342,C
343,D
344,B
345,A
346,B
347,A
348,D
349,C
350,B
351,D
352,A
353,A
354,B
355,C
356,A
357,C
358,A
359,B
360,B
361,A
362,D
363,B
364,B
365,C
366,D
367,B
368,A
369,B
370,C
371,A
372,D
373,B
374,D
375,C
376,A
377,C
378,B
379,D
380,A
381,D
382,B
383,C
384,A
385,B
386,B
387,D
388,A
389,B
390,D
391,A
392,C
393,A
394,B
395,D
396,C
397,C
398,B
399,B
400,C
401,D
402,B
403,C
404,A
405,C
406,A
407,A
408,D
409,D
410,C
411,C
412,D
413,B
414,A
415,B
416,C
417,D
418,C
419,A
420,C
421,A
422,B
423,C
424,D
425,D
426,A
427,C
428,B
429,A
430,C
431,B
432,B
433,B
434,A
435,B
436,C
437,D
438,C
439,A
440,D
441,B
442,D
443,A
444,A
445,B
446,D
447,B
448,A
449,D
450,D
451,D
452,C
453,A
454,C
455,B
456,D
457,B
458,C
459,C
460,B
461,B
462,B
463,B
464,B
465,C
466,A
467,C
468,D
469,D
470,D
471,C
472,A
473,D
474,A
475,A
476,D
477,A
478,D
479,B
480,B
481,C
482,C
483,A
484,A
485,B
486,D
487,C
488,C
489,A
490,B
491,A
492,C
493,B
494,C
495,D
496,C
497,D
498,C
499,C
500,B
501,C
502,B
503,C
504,C
505,C
506,A
507,D
508,B
509,A
510,B
511,A
512,B
513,C
514,D
515,A
516,C
517,D
518,C
519,D
520,C
521,A
522,B
523,C
524,C
525,B
526,D
527,D
528,C
529,D
530,A
531,C
532,B
533,C
534,B
535,D
536,A
537,B
538,D
539,D
540,B
541,C
542,C
543,B
544,D
545,C
546,B
547,B
548,B
549,C
550,A
551,A
552,D
553,A
554,B
555,A
556,A
557,C
558,A
559,B
560,A
561,C
562,D
563,C
564,C
565,C
566,D
567,A
568,B
569,C
570,D
571,D
572,B
573,B
574,D
575,D
576,B
577,C
578,A
579,B
580,C
581,C
582,D
583,B
584,C
585,A
586,B
587,A
588,C
589,D
590,D
591,C
592,A
593,A
594,B
595,D
596,A
597,D
598,D
599,D
600,C
601,A
602,D
603,B
604,D
605,A
606,B
607,C
608,B
609,A
610,C
611,D
612,A
613,D
614,B
615,C
616,C
617,A
618,A
619,C
620,A
621,D
622,C
623,A
624,C
625,A
626,A
627,C
628,B
629,B
630,A
631,D
632,D
633,B
634,C
635,B
636,A
637,B
638,C
639,B
640,C
641,C
642,D
643,A
644,D
645,B
646,D
647,C
648,D
649,C
650,B
651,A
652,B
653,C
654,C
655,A
656,D
657,A
658,C
659,B
660,C
661,A
662,D
663,C
664,B
665,D
666,D
667,A
668,A
669,D
670,B
671,D
672,A
673,B
674,C
675,D
676,C
677,B
678,A
679,B
680,C
681,A
682,D
683,C
684,A
685,C
686,D
687,C
688,D
689,A
690,C
691,D
692,A
693,D
694,B
695,A
696,D
697,A
698,D
699,A
700,C
701,A
702,D
703,C
704,A
705,C
706,B
707,A
708,B
709,C
710,B
711,A
712,C
713,B
714,A
715,D
716,A
717,C
718,C
719,B
720,D
721,B
722,A
723,C
724,A
725,D
726,B
727,C
728,B
729,B
730,D
731,C
732,B
733,A
734,D
735,C
736,C
737,B
738,D
739,A
740,B
741,A
742,B
743,D
744,C
745,A
746,B
747,A
748,D
749,A
750,C
751,A
752,A
753,C
754,D
755,A
756,C
757,C
758,A
759,D
760,D
761,B
762,A
763,A
764,B
765,B
766,B
767,A
768,D
769,C
770,C
771,A
772,D
773,B
774,C
775,A
776,B
777,C
778,C
779,C
780,D
781,C
782,D
783,A
784,B
785,A
786,C
787,C
788,C
789,A
790,A
791,B
792,D
793,D
794,A
795,D
796,B
797,B
798,C
799,B
800,B
801,A
802,B
803,C
804,C
805,B
806,C
807,C
808,D
809,D
810,D
811,A
812,B
813,B
814,D
815,D
816,B
817,A
818,C
819,C
820,D
821,B
822,D
823,C
824,B
825,C
826,A
827,C
828,B
829,D
830,D
831,D
832,B
833,B
834,D
835,C
836,B
837,D
838,A
839,B
840,A
841,C
842,D
843,C
844,D
845,B
846,A
847,B
848,D
849,C
850,B
851,A
852,D
853,B
854,B
855,B
856,A
857,A
858,D
859,A
860,B
861,B
862,D
863,A
864,C
865,C
866,D
867,C
868,C
869,A
870,B
871,A
872,B
873,C
874,A
875,C
876,C
877,D
878,A
879,C
880,C
881,D
882,A
883,A
884,B
885,A
886,C
887,A
888,D
889,C
890,D
891,C
892,B
893,A
894,B
895,D
896,C
897,C
898,C
899,A
900,D
901,B
902,C
903,D
904,D
905,A
906,B
907,C
908,D
909,A
910,D
911,C
912,A
913,B
914,A
915,A
916,B
917,C
918,B
919,A
920,D
921,C
922,C
923,B
924,A
925,B
926,C
927,D
928,C
929,D
930,B
931,B
932,D
933,D
934,D
935,C
936,B
937,D
938,C
939,B
940,A
941,D
942,A
943,C
944,A
945,D
946,D
947,B
948,A
949,C
950,C
951,B
952,D
953,B
954,B
955,B
956,D
957,C
958,D
959,B
960,B
961,A
962,A
963,D
964,A
965,C
966,B
967,B
968,B
969,C
970,D
971,B
972,B
973,A
974,B
975,B
976,A
977,B
978,B
979,C
980,D
981,C
982,C
983,C
984,A
985,D
986,A
987,B
988,D
989,D
990,D
991,A
992,C
993,D
994,D
995,D
996,B
997,A
998,C
999,B
1000,B
1001,C
1002,B
1003,A
1004,B
1005,C
1006,A
1007,D
1008,A
1009,C
1010,C
1011,B
1012,C
1013,C
1014,D
1015,C
1016,D
1017,A
1018,D
1019,C
1020,C
1021,D
1022,A
1023,D
1024,D
1025,D
1026,D
1027,B
1028,C
1029,D
1030,B
1031,C
1032,B
1033,D
1034,A
1035,C
1036,C
1037,D
1038,A
1039,D
1040,D
1041,B
1042,B
1043,A
1044,D
1045,D
1046,D
1047,A
1048,B
1049,C
1050,A
1051,D
1052,A
1053,B
1054,D
1055,A
1056,D
1057,C
1058,D
1059,C
1060,D
1061,C
1062,D
1063,B
1064,C
1065,A
1066,A
1067,C
1068,C
1069,B
1070,C
1071,C
1072,C
1073,D
1074,A
1075,C
1076,C
1077,D
1078,C
1079,C
1080,B
1081,A
1082,A
1083,D
1084,B
1085,B
1086,A
1087,B
1088,C
1089,A
1090,D
1091,D
1092,C
1093,B
1094,B
1095,C
1096,A
1097,B
1098,C
1099,D
1100,A
1101,C
1102,C
1103,D
1104,D
1105,A
1106,D
1107,D
1108,A
1109,A
1110,A
1111,C
1112,A
1113,A
1114,D
1115,C
1116,A
1117,A
1118,C
1119,A
1120,D
1121,D
1122,A
1123,D
1124,A
1125,A
1126,B
1127,C
1128,D
1129,D
1130,D
1131,B
1132,C
1133,C
1134,A
1135,D
1136,A
1137,A
1138,C
1139,B
1140,D
1141,C
1142,A
1143,A
1144,C
1145,C
1146,D
1147,D
1148,D
1149,A
1150,D
1151,C
1152,B
1153,A
1154,B
1155,D
1156,B
1157,B
1158,D
1159,B
1160,A
1161,C
1162,A
1163,A
1164,C
1165,B
1166,C
1167,B
1168,B
1169,A
1170,C
1171,D
1172,B
1173,C
1174,C
1175,A
1176,C
1177,B
1178,B
1179,D
1180,C
1181,D
1182,C
1183,A
1184,B
1185,B
1186,D
1187,D
1188,A
1189,D
1190,B
1191,A
1192,D
1193,C
1194,C
1195,A
1196,A
1197,C
1198,D
1199,D
1200,D
1201,B
1202,B
1203,D
1204,C
1205,D
1206,D
1207,A
1208,D
1209,C
1210,C
1211,B
1212,B
1213,B
1214,B
1215,D
1216,C
1217,C
1218,D
1219,D
1220,D
1221,C
1222,B
1223,A
1224,C
1225,A
1226,B
1227,D
1228,A
1229,B
1230,D
1231,A
1232,A
1233,B
1234,C
1235,C
1236,C
1237,D
1238,B
1239,A
1240,A
1241,B
1242,B
1243,C
1244,D
1245,B
1246,A
1247,A
1248,A
1249,D
1250,A
1251,C
1252,A
1253,D
1254,B
1255,C
1256,D
1257,C
1258,D
1259,A
1260,C
1261,D
1262,B
1263,A
1264,B
1265,A
1266,C
1267,D
1268,A
1269,B
1270,A
1271,C
1272,A
1273,B
1274,D
1275,C
1276,A
1277,C
1278,C
1279,D
1280,B
1281,A
1282,D
1283,D
1284,D
1285,D
1286,A
1287,A
1288,D
1289,C
1290,A
1291,A
1292,A
1293,A
1294,D
1295,D
1296,B
1297,D
1298,A
1299,C
1300,B
1301,A
1302,B
1303,C
1304,B
1305,C
1306,D
1307,B
1308,B
1309,D
1310,C
1311,B
1312,C
1313,D
1314,B
1315,C
1316,D
1317,B
1318,C
1319,C
1320,D
1321,D
1322,B
1323,D
1324,C
1325,A
1326,B
1327,D
1328,B
1329,B
1330,B
1331,B
1332,B
1333,B
1334,D
1335,A
1336,C
1337,B
1338,D
1339,A
1340,B
1341,A
1342,C
1343,A
1344,A
1345,A
1346,C
1347,B
1348,C
1349,C
1350,A
1351,D
1352,D
1353,C
1354,A
1355,A
1356,D
1357,A
1358,A
1359,C
1360,B
1361,C
1362,B
1363,C
1364,D
1365,C
1366,A
1367,D
1368,C
1369,D
1370,C
1371,A
1372,B
1373,B
1374,C
1375,D
1376,D
1377,B
1378,C
1379,B
1380,C
1381,D
1382,A
1383,C
1384,D
1385,D
1386,B
1387,B
1388,B
1389,B
1390,A
1391,C
1392,C
1393,B
1394,C
1395,A
1396,A
1397,D
1398,A
1399,D
1400,C
1401,A
1402,C
1403,C
1404,D
1405,D
1406,A
1407,D
1408,D
1409,D
1410,D
1411,C
1412,C
1413,D
1414,B
1415,A
1416,A
1417,C
1418,D
1419,B
1420,B
1421,B
1422,A
1423,A
1424,A
1425,D
1426,D
1427,A
1428,A
1429,C
1430,A
1431,B
1432,D
1433,C
1434,C
1435,A
1436,A
1437,A
1438,D
1439,B
1440,C
1441,D
1442,C
1443,A
1444,A
1445,B
1446,D
1447,D
1448,D
1449,B
1450,C
1451,B
1452,C
1453,C
1454,C
1455,B
1456,B
1457,C
1458,B
1459,C
1460,D
1461,D
1462,D
1463,D
1464,C
1465,D
1466,B
1467,A
1468,C
1469,A
1470,C
1471,D
1472,C
1473,C
1474,B
1475,A
1476,B
1477,A
1478,D
1479,B
1480,B
1481,C
1482,D
1483,C
1484,D
1485,C
1486,D
1487,B
1488,A
1489,C
1490,C
1491,A
1492,D
1493,C
1494,B
1495,A
1496,D
1497,D
1498,D
1499,C
1500,C
