id,answer
1,Sai
2,Đúng
3,Sai
4,Đúng
5,Sai
6,Đúng
7,Sai
8,Đúng
9,Sai
10,Đúng
11,Sai
12,Đúng
13,Sai
14,Đúng
15,Sai
16,Đúng
17,Sai
18,Đúng
19,Sai
20,Đúng
21,Đúng
22,Sai
23,Sai
24,Đúng
25,Sai
26,Đúng
27,Sai
28,Đúng
29,Sai
30,Đúng
31,Sai
32,Đúng
33,Đúng
34,Sai
35,Sai
36,Đúng
37,Sai
38,Đúng
39,Sai
40,Đúng
41,Sai
42,Đúng
43,Sai
44,Đúng
45,Sai
46,Đúng
47,Sai
48,Đúng
49,Sai
50,Đúng
51,Sai
52,Đúng
53,Sai
54,Đúng
55,Sai
56,Đúng
57,Sai
58,Đúng
59,Sai
60,Đúng
61,Sai
62,Đúng
63,Sai
64,Đúng
65,Sai
66,Đúng
67,Sai
68,Đúng
69,Sai
70,Đúng
71,Sai
72,Đúng
73,Sai
74,Đúng
75,Sai
76,Đúng
77,Đúng
78,Sai
79,Sai
80,Đúng
81,Sai
82,Đúng
83,Sai
84,Đúng
85,Sai
86,Đúng
87,Sai
88,Đúng
89,Sai
90,Đúng
91,Sai
92,Đúng
93,Sai
94,Đúng
95,Sai
96,Đúng
97,Sai
98,Đúng
99,Sai
100,Đúng
101,Sai
102,Đúng
103,Đúng
104,Đúng
105,Đúng
106,Sai
107,Sai
108,Sai
109,Sai
110,Đúng
111,Sai
112,Đúng
113,Sai
114,Đúng
115,Sai
116,Đúng
117,Sai
118,Đúng
119,Sai
120,Đúng
121,Sai
122,Đúng
123,Sai
124,Đúng
125,Sai
126,Đúng
127,Sai
128,Đúng
129,Sai
130,Đúng
131,Sai
132,Đúng
133,Sai
134,Đúng
135,Sai
136,Đúng
137,Sai
138,Đúng
139,Sai
140,Đúng
141,Sai
142,Đúng
143,Đúng
144,Sai
145,Sai
146,Đúng
147,Sai
148,Đúng
149,Sai
150,Đúng
151,Sai
152,Đúng
153,Sai
154,Đúng
155,Sai
156,Đúng
157,Sai
158,Đúng
159,Sai
160,Đúng
161,Đúng
162,Sai
163,Sai
164,Đúng
165,Sai
166,Đúng
167,Sai
168,Đúng
