id,question,hop_count,reasoning_path,variant_type
1,"Nông Đức Mạnh kế nhiệm ai trong chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Quân ủy Trung ương, và người đó tham gia chiến dịch nào?
A) Lê Khả Phiêu - Kháng chiến chống Mỹ
B) Phạm Văn Rạnh - Xung đột Thái Lan-Việt Nam
C) Cao Tấn Khổng - Chiến dịch Đắc Tô I
D) Lại Văn Hoàn - Chiến trường Tây Nguyên",2,"[""pol6293"", ""SUCCEEDED"", ""pol24330"", ""FOUGHT_IN"", ""cam24330_001""]",Normal
2,"Trần Thị Nguyệt Thu là tiền nhiệm của ai trong chức vụ Phu nhân của Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó kế nhiệm ai trong chức vụ Chủ tịch nước, Cộng hòa xã hội chủ nghĩa Việt Nam, và người cuối cùng giữ chức vụ Chủ tịch Hội nghị cấp cao ASEAN trong giai đoạn nào?
A) Nguyễn Đình Xứng - Phạm Phước - Nguyễn Hồng Diên - từ 2010 đến 2010
B) Phan Thị Thanh Tâm - Võ Văn Thưởng - Nguyễn Xuân Phúc - từ 2020 đến 2020-12-31
C) Nguyễn Trường Giang - Cầm Ngọc Minh - Mai Chí Thọ - từ 2011 đến 2011
D) Nguyễn Thành Tài - Lý Thái Hải - Nguyễn Côn - từ 2018 đến 2018",4,"[""pol19781134"", ""PRECEDED"", ""pol19795666"", ""PRECEDED"", ""pol248258"", ""SUCCEEDED"", ""pol459014"", ""TERM_DURATION"", ""DURATION_từ 2020 đến 2020-12-31""]",Normal
3,"Lương Cường là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, và người đó tham gia chiến dịch nào?
A) Nguyễn Khắc Hưng - Chiến dịch Điện Biên Phủ trên không
B) Lê Ngọc Hưng - Chiến dịch Sấm Rền
C) Lê Đức Anh - Chiến dịch Hồ Chí Minh
D) Nguyễn Văn Du - Chiến dịch Sa Thầy",2,"[""pol3161938"", ""PRECEDED"", ""pol41586"", ""FOUGHT_IN"", ""cam591117_001""]",Normal
4,"Lương Cường là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, và người đó tham gia chiến dịch nào?
A) Vũ Xuân Hồng - Chiến dịch Việt Bắc Thu-Đông 1947
B) Phạm Mạnh Hùng - Cách mạng Tháng Tám
C) Hà Văn Khoát - Chiến tranh Đông Dương
D) Lê Đức Anh - Chiến dịch Đường 14-Phước Long",2,"[""pol3161938"", ""PRECEDED"", ""pol41586"", ""FOUGHT_IN"", ""cam41586_002""]",Normal
5,"Nguyễn Xuân Đông là tiền nhiệm của ai trong chức vụ Chủ tịch Ủy ban nhân dân tỉnh Hà Nam, và người đó nhận giải thưởng gì?
A) Nguyễn Văn Thành - Huy hiệu 50 năm tuổi Đảng cùng nhiều phần thưởng cao quý khác của Việt Nam và quốc tế
B) Lê Xuân Duy - Nhà giáo ưu tú
C) Trương Quốc Huy - Huân chương Lao động hạng Nhì
D) Phạm Gia Túc - Huy hiệu 50 năm tuổi Đảng cùng nhiều phần thưởng cao quý khác của Việt Nam và quốc tế",2,"[""pol3711586"", ""PRECEDED"", ""pol19661048"", ""AWARDED"", ""awa436788_001""]",Normal
6,"Trần Lưu Quang là tiền nhiệm của ai trong chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh, và người đó sinh năm bao nhiêu?
A) Phan Văn Mãi - 1973
B) Vũ Việt Trang - 1966
C) Nguyễn Hữu Thể - 1966
D) Phạm Song - 1969",2,"[""pol798260"", ""PRECEDED"", ""pol3340042"", ""BORN_YEAR"", ""YEAR_1973""]",Normal
7,"Quản Minh Cường là tiền nhiệm của ai trong chức vụ Phó Trưởng Ban Tổ chức Trung ương, người đó kế nhiệm ai trong chức vụ Trưởng ban Tổ chức Trung ương, và người cuối cùng có học vị gì?
A) Bùi Văn Hải - Lương Đình Hồng - Đại học Cảnh sát nhân dân
B) Ngô Minh Châu - Nguyễn Thị Phú Hà - Thạc sĩ Luật chuyên ngành Thương mại quốc tế (tiếng Anh)
C) Hầu A Lềnh - Nguyễn Trí Tuệ - THPT Nguyễn Gia Thiều (1957–1963)
D) Phạm Minh Chính - Tô Huy Rứa - Tiến sĩ Triết học",3,"[""pol19777570"", ""PRECEDED"", ""pol436788"", ""SUCCEEDED"", ""pol318392"", ""HAS_ACADEMIC_TITLE"", ""aca318392_001""]",Normal
8,"Phan Thị Thanh Tâm là tiền nhiệm của ai trong chức vụ Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam, người đó là tiền nhiệm của ai trong chức vụ Bí thư thứ nhất Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh, và người cuối cùng giữ chức vụ Chủ tịch Trung ương Hội Sinh viên Việt Nam trong giai đoạn nào?
A) Tạ Quang Đông - Hoàng Dân Mạc - từ 2015 đến 2019
B) Võ Văn Thưởng - Nguyễn Đắc Vinh - từ 2009-02-16 đến 2013-12-28
C) Hồ Văn Mười - Lê Quang Cường - từ 2003 đến 2007
D) Nguyễn Đức Bình - Nguyễn Sáng Vang - từ 2005 đến 2009",3,"[""pol19795666"", ""PRECEDED"", ""pol248258"", ""PRECEDED"", ""pol660401"", ""TERM_DURATION"", ""DURATION_từ 2009-02-16 đến 2013-12-28""]",Normal
9,"Nguyễn Thanh Nghị kế nhiệm ai trong chức vụ Trưởng Ban Chính sách, Chiến lược Trung ương, người đó là tiền nhiệm của ai trong chức vụ Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh, và người cuối cùng sinh năm bao nhiêu?
A) Trần Văn Vệ - Lê Thanh Nghị - 1981
B) Lê Quang Minh - Nguyễn Văn Chi - 1974
C) Phạm Hoàng Bê - Nguyễn Trọng Nghĩa - 1974
D) Trần Lưu Quang - Phan Văn Mãi - 1973",3,"[""pol592361"", ""SUCCEEDED"", ""pol798260"", ""PRECEDED"", ""pol3340042"", ""BORN_YEAR"", ""YEAR_1973""]",Normal
10,"Hoàng Văn Thái kế nhiệm ai trong chức vụ Tư lệnh Quân khu 5, và người đó tham gia chiến dịch nào?
A) Chu Huy Mân - Chiến dịch Biên giới thu đông 1950
B) Nguyễn Sỹ Quang - Chiến dịch Junction City
C) Lê Đức Thọ - Sự kiện Tết Mậu Thân
D) Lê Văn Dũng - Chiến dịch Điện Biên Phủ",2,"[""pol8349"", ""SUCCEEDED"", ""pol42320"", ""FOUGHT_IN"", ""cam42320_001""]",Normal
