id,answer
1,A
2,A
3,D
4,D
5,C
6,C
7,C
8,D
9,D
10,B
11,B
12,B
13,B
14,D
15,A
16,B
17,D
18,C
19,A
20,D
21,D
22,A
23,D
24,B
25,D
26,A
27,A
28,D
29,D
30,C
31,B
32,C
33,D
34,B
35,C
36,A
37,C
38,A
39,C
40,D
41,C
42,D
43,A
44,B
45,A
46,C
47,C
48,B
49,C
50,A
51,B
52,B
53,B
54,D
55,A
56,B
57,C
58,C
59,B
60,B
61,A
62,C
63,C
64,C
65,A
66,D
67,B
68,C
69,C
70,D
71,D
72,B
73,D
74,D
75,A
76,D
77,D
78,B
79,D
80,C
81,D
82,B
83,B
84,D
85,B
86,C
87,B
88,C
89,C
90,A
91,B
92,A
93,D
94,D
95,D
96,D
97,C
98,B
99,D
100,C
101,D
102,C
103,C
104,C
105,D
106,A
107,C
108,A
109,C
110,D
111,D
112,B
113,C
114,A
115,C
116,C
117,D
118,D
119,A
120,C
121,D
122,D
123,B
124,D
125,A
126,B
127,B
128,C
129,D
130,B
131,A
132,D
133,C
134,A
135,B
136,D
137,C
138,A
139,A
140,D
141,A
142,B
143,C
144,B
145,C
146,B
147,B
148,B
149,A
150,A
151,C
152,D
153,B
154,C
155,C
156,A
157,C
158,D
159,A
160,C
161,A
162,A
163,C
164,D
165,D
166,A
167,C
168,D
169,B
170,B
171,C
172,D
173,D
174,C
175,B
176,B
177,C
178,C
179,B
180,D
181,D
182,C
183,B
184,D
185,D
186,A
187,B
188,C
189,C
190,B
191,D
192,B
193,D
194,D
195,A
196,C
197,A
198,D
199,C
200,A
201,D
202,B
203,B
204,C
205,C
206,C
207,A
208,D
209,D
210,B
211,D
212,D
213,A
214,D
215,B
216,C
217,C
218,C
219,B
220,C
221,C
222,A
223,A
224,B
225,A
226,B
227,C
228,D
229,C
230,D
231,B
232,B
233,A
234,B
235,B
236,A
237,D
238,D
239,B
240,B
241,D
242,C
243,C
244,B
245,A
246,A
247,D
248,D
249,D
250,B
251,C
252,C
253,D
254,C
255,D
256,D
257,A
258,D
259,B
260,D
261,C
262,B
263,A
264,D
265,D
266,B
267,B
268,C
269,D
270,A
271,A
272,A
273,C
274,C
275,B
276,C
277,D
278,C
279,A
280,B
281,D
282,A
283,C
284,B
285,D
286,C
287,B
288,B
289,B
290,C
291,C
292,B
293,A
294,A
295,C
296,A
297,D
298,D
299,A
300,B
301,A
302,B
303,A
304,D
305,D
306,C
307,C
308,A
309,D
310,C
311,C
312,D
313,B
314,A
315,C
316,D
317,D
318,B
319,B
320,C
321,B
322,D
323,B
324,D
325,B
326,D
327,B
328,B
329,B
330,C
331,A
332,C
333,C
334,B
335,D
336,D
337,B
338,C
339,A
340,A
341,A
342,C
343,A
344,D
345,D
346,C
347,D
348,B
349,D
350,D
351,A
352,C
353,B
354,C
355,D
356,D
357,A
358,D
359,B
360,A
361,D
362,A
363,A
364,D
365,A
366,B
367,D
368,B
369,C
370,D
371,B
372,A
373,A
374,C
375,B
376,C
377,C
378,B
379,A
380,C
381,D
382,D
383,C
384,C
385,D
386,C
387,C
388,C
389,D
390,C
391,B
392,C
393,A
394,B
395,D
396,C
397,A
398,A
399,C
400,B
401,D
402,C
403,A
404,A
405,A
406,A
407,C
408,B
409,B
410,C
411,A
412,C
413,B
414,C
415,A
416,B
417,B
418,B
419,C
420,B
421,D
422,A
423,B
424,D
425,A
426,D
427,C
428,D
429,C
430,A
431,C
432,A
433,C
434,A
435,C
436,A
437,D
438,C
439,A
440,D
441,C
442,B
443,C
444,B
445,D
446,D
447,C
448,C
449,D
450,A
451,A
452,D
453,B
454,D
455,B
456,D
457,A
458,C
459,A
460,B
461,D
462,C
463,C
464,A
465,C
466,D
467,C
468,B
469,A
470,A
471,D
472,D
473,A
474,A
475,C
476,B
477,B
478,D
479,D
480,A
481,D
482,A
483,A
484,D
485,C
486,B
487,D
488,D
489,B
490,B
491,C
492,B
493,C
494,A
495,D
496,D
497,B
498,A
499,D
500,A
501,D
502,B
503,B
504,A
505,D
506,D
507,B
508,C
509,C
510,A
511,D
512,A
513,B
514,B
515,A
516,B
517,B
518,C
519,B
520,B
521,A
522,D
523,B
524,D
525,C
526,D
527,D
528,B
529,B
530,A
531,D
532,B
533,C
534,B
535,D
536,C
537,A
538,C
539,B
540,D
541,A
542,C
543,C
544,D
545,D
546,D
547,D
548,B
549,D
550,D
551,A
552,C
553,B
554,C
555,C
556,B
557,B
558,B
559,D
560,D
561,B
562,B
563,C
564,C
565,B
566,B
567,D
568,A
569,A
570,A
571,A
572,B
573,B
574,A
575,B
576,C
577,B
578,D
579,A
580,D
581,B
582,A
583,A
584,A
585,A
586,C
587,D
588,A
589,A
590,C
591,B
592,A
593,B
594,A
595,A
596,A
597,B
598,D
599,A
600,D
601,D
602,A
603,B
604,A
605,B
606,C
607,D
608,D
609,A
610,B
611,C
612,B
613,D
614,C
615,C
616,A
617,B
618,D
619,A
620,A
621,A
622,B
623,C
624,C
625,B
626,D
627,C
628,C
629,B
630,D
631,B
632,D
633,D
634,B
635,B
636,D
637,C
638,C
639,C
640,D
641,A
642,C
643,A
644,D
645,C
646,B
647,C
648,B
649,A
650,D
651,A
652,C
653,D
654,B
655,B
656,D
657,C
658,C
659,B
660,B
661,B
662,B
663,A
664,B
665,C
666,B
667,C
668,C
669,A
670,C
671,A
672,D
673,C
674,D
675,A
676,B
677,B
678,A
679,D
680,B
681,D
682,B
683,D
684,C
685,C
686,A
687,D
688,B
689,B
690,D
691,B
692,B
693,B
694,C
695,D
696,D
697,B
698,B
699,A
700,B
701,A
702,B
703,C
704,C
705,A
706,A
707,D
708,B
709,C
710,C
711,A
712,B
713,A
714,B
715,D
716,B
717,C
718,D
719,D
720,C
721,A
722,A
723,D
724,A
725,D
726,A
727,A
728,A
729,B
730,C
731,B
732,C
733,A
734,C
735,A
736,C
737,B
738,A
739,B
740,B
741,B
742,C
743,D
744,A
745,B
746,A
747,A
748,C
749,D
750,C
751,C
752,A
753,A
754,C
755,B
756,C
757,D
758,C
759,A
760,C
761,C
762,B
763,D
764,D
765,B
766,A
767,B
768,B
769,A
770,A
771,A
772,C
773,B
774,D
775,A
776,C
777,B
778,B
779,B
780,B
781,C
782,B
783,C
784,A
785,C
786,D
787,C
788,C
789,D
790,C
791,C
792,A
793,D
794,D
795,B
796,A
797,B
798,C
799,B
800,D
801,A
802,C
803,D
804,A
805,C
806,B
807,B
808,D
809,B
810,B
811,A
812,B
813,B
814,B
815,C
816,A
817,C
818,C
819,A
820,D
821,D
822,A
823,B
824,C
825,D
826,D
827,B
828,C
829,A
830,D
831,A
832,A
833,C
834,C
835,B
836,C
837,C
838,A
839,B
840,A
841,C
842,A
843,D
844,B
845,A
846,A
847,A
848,A
849,B
850,D
851,A
852,D
853,D
854,C
855,A
856,C
857,D
858,D
859,D
860,B
861,D
862,C
863,A
864,B
865,D
866,D
867,A
868,B
869,B
870,C
871,C
872,A
873,C
874,D
875,D
876,A
877,B
878,B
879,D
880,D
881,B
882,B
883,C
884,B
885,B
886,A
887,A
888,A
889,B
890,B
891,C
892,C
893,A
894,B
895,B
896,B
897,C
898,B
899,D
900,D
901,B
902,C
903,D
904,D
905,D
906,B
907,C
908,C
909,B
910,D
911,D
912,C
913,A
914,A
915,A
916,A
917,C
918,D
919,D
920,A
921,B
922,B
923,B
924,B
925,C
926,D
927,C
928,D
929,C
930,D
931,B
932,A
933,C
934,D
935,D
936,D
937,C
938,D
939,A
940,B
941,B
942,A
943,B
944,D
945,B
946,C
947,D
948,C
949,A
950,B
951,C
952,A
953,D
954,D
955,B
956,D
957,D
958,A
959,C
960,B
961,B
962,D
963,D
964,D
965,C
966,B
967,D
968,D
969,C
970,A
971,A
972,C
973,A
974,C
975,A
976,B
977,B
978,D
979,D
980,D
981,B
982,D
983,B
984,D
985,B
986,B
987,C
988,D
989,C
990,B
991,D
992,A
993,C
994,A
995,B
996,D
997,D
998,B
999,A
1000,A
1001,A
1002,D
1003,A
1004,C
1005,B
1006,D
1007,B
1008,A
1009,A
1010,C
1011,B
1012,B
1013,B
