id,answer
1,Sai
2,Đúng
3,Sai
4,Đúng
5,Sai
6,Đúng
7,Sai
8,Đúng
9,Sai
10,Đúng
11,Sai
12,Đúng
13,Sai
14,Đúng
15,Sai
16,Đúng
17,Đúng
18,Sai
19,Sai
20,Đúng
21,Đúng
22,Sai
23,Đúng
24,Sai
25,Sai
26,Đúng
27,Sai
28,Đúng
29,Sai
30,Đúng
31,Sai
32,Đúng
33,Sai
34,Đúng
35,Sai
36,Đúng
37,Đúng
38,Sai
39,Sai
40,Đúng
41,Đúng
42,Sai
43,Sai
44,Đúng
45,Sai
46,Đúng
47,Sai
48,Đúng
49,Sai
50,Đúng
51,Đúng
52,Sai
53,Sai
54,Đúng
55,Sai
56,Đúng
57,Đúng
58,Sai
59,Sai
60,Đúng
61,Đúng
62,Sai
63,Sai
64,Đúng
65,Sai
66,Đúng
67,Đúng
68,Sai
69,Sai
70,Đúng
71,Sai
72,Đúng
73,Sai
74,Đúng
75,Sai
76,Đúng
77,Đúng
78,Sai
79,Đúng
80,Đúng
81,Sai
82,Sai
83,Sai
84,Đúng
85,Sai
86,Đúng
87,Đúng
88,Sai
89,Sai
90,Đúng
91,Đúng
92,Sai
93,Sai
94,Đúng
95,Sai
96,Đúng
97,Sai
98,Đúng
99,Đúng
100,Đúng
101,Sai
102,Sai
103,Sai
104,Đúng
105,Sai
106,Đúng
107,Đúng
108,Sai
109,Sai
110,Đúng
111,Sai
112,Đúng
113,Sai
114,Đúng
115,Sai
116,Đúng
117,Sai
118,Đúng
119,Đúng
120,Sai
121,Đúng
122,Sai
123,Đúng
124,Sai
125,Sai
126,Đúng
127,Sai
128,Đúng
129,Đúng
130,Sai
131,Sai
132,Đúng
133,Sai
134,Đúng
135,Sai
136,Đúng
137,Đúng
138,Đúng
139,Sai
140,Sai
141,Sai
142,Đúng
143,Sai
144,Đúng
145,Đúng
146,Sai
147,Sai
148,Đúng
149,Đúng
150,Đúng
151,Đúng
152,Sai
153,Sai
154,Sai
155,Sai
156,Đúng
157,Sai
158,Đúng
159,Sai
160,Đúng
161,Sai
162,Đúng
163,Sai
164,Đúng
165,Sai
166,Đúng
167,Sai
168,Đúng
