id,answer
1,A
2,B
3,C
4,D
5,C
6,A
7,D
8,B
9,D
10,A
11,B
12,C
13,B
14,A
15,C
16,D
17,A
18,D
19,B
20,C
21,C
22,B
23,A
24,D
25,B
26,D
27,A
28,C
29,B
30,D
31,A
32,C
33,B
34,D
35,C
36,A
37,D
38,B
39,C
40,A
41,B
42,C
43,D
44,A
45,A
46,D
47,C
48,B
49,B
50,C
51,A
52,D
53,D
54,C
55,A
56,B
57,C
58,D
59,B
60,A
61,A
62,B
63,C
64,D
65,A
66,D
67,B
68,C
69,C
70,D
71,B
72,A
73,D
74,B
75,C
76,A
77,B
78,D
79,C
80,A
81,D
82,C
83,B
84,A
85,D
86,B
87,C
88,A
89,C
90,B
91,A
92,D
93,B
94,A
95,D
96,C
97,A
98,C
99,D
100,B
101,C
102,A
103,B
104,D
105,A
106,D
107,B
108,C
109,A
110,B
111,D
112,C
113,B
114,C
115,D
116,A
117,A
118,D
119,B
120,C
121,D
122,A
123,B
124,C
125,D
126,C
127,B
128,A
129,A
130,B
131,D
132,C
133,B
134,A
135,D
136,C
137,A
138,D
139,B
140,C
141,B
142,C
143,A
144,D
145,C
146,B
147,D
148,A
149,B
150,C
151,D
152,A
153,D
154,B
155,C
156,A
157,D
158,C
159,A
160,B
161,D
162,A
163,B
164,C
165,A
166,B
167,D
168,C
169,D
170,C
171,A
172,B
173,C
174,D
175,B
176,A
177,C
178,A
179,D
180,B
181,A
182,B
183,C
184,D
185,B
186,D
187,A
188,C
189,C
190,A
191,D
192,B
193,B
194,C
195,A
196,D
197,B
198,A
199,C
200,D
201,A
202,C
203,D
204,B
205,D
206,B
207,A
208,C
209,C
210,A
211,D
212,B
213,C
214,B
215,D
216,A
217,B
218,C
219,A
220,D
221,D
222,B
223,A
224,C
225,B
226,A
227,D
228,C
229,C
230,B
231,D
232,A
233,A
234,D
235,C
236,B
237,A
238,C
239,B
240,D
241,C
242,B
243,A
244,D
245,C
246,B
247,A
248,D
249,A
250,C
251,B
252,D
253,C
254,A
255,D
256,B
257,B
258,D
259,C
260,A
261,D
262,C
263,A
264,B
265,A
266,C
267,B
268,D
269,C
270,B
271,A
272,D
273,A
274,B
275,D
276,C
277,A
278,B
279,D
280,C
281,B
282,A
283,C
284,D
285,C
286,D
287,B
288,A
289,B
290,D
291,A
292,C
293,B
294,A
295,C
296,D
297,B
298,C
299,D
300,A
301,B
302,D
303,A
304,C
305,C
306,D
307,B
308,A
309,B
310,C
311,A
312,D
313,D
314,A
315,C
316,B
317,A
318,B
319,C
320,D
321,C
322,A
323,B
324,D
325,C
326,A
327,B
328,D
329,B
330,A
331,D
332,C
333,D
334,B
335,C
336,A
337,C
338,B
339,A
340,D
341,A
342,B
343,D
344,C
345,C
346,D
347,B
348,A
349,C
350,A
351,D
352,B
353,A
354,D
355,C
356,B
357,B
358,A
359,C
360,D
361,A
362,B
363,D
364,C
365,B
366,A
367,D
368,C
369,C
370,A
371,B
372,D
373,C
374,D
375,B
376,A
377,C
378,A
379,B
380,D
381,C
382,D
383,A
384,B
385,A
386,B
387,D
388,C
389,A
390,C
391,D
392,B
393,B
394,C
395,A
396,D
397,C
398,B
399,A
400,D
401,A
402,C
403,B
404,D
405,A
406,B
407,D
408,C
409,A
410,D
411,C
412,B
413,D
414,A
415,B
416,C
417,A
418,D
419,C
420,B
421,C
422,B
423,D
424,A
425,B
426,D
427,A
428,C
429,C
430,A
431,D
432,B
433,C
434,B
435,A
436,D
437,D
438,B
439,A
440,C
441,C
442,D
443,A
444,B
445,A
446,B
447,D
448,C
449,D
450,C
451,B
452,A
453,C
454,B
455,A
456,D
457,C
458,D
459,A
460,B
461,B
462,C
463,A
464,D
465,B
466,A
467,D
468,C
469,C
470,A
471,D
472,B
473,A
474,B
475,C
476,D
477,D
478,B
479,C
480,A
481,D
482,B
483,A
484,C
485,C
486,D
487,B
488,A
489,A
490,B
491,D
492,C
493,D
494,A
495,B
496,C
497,B
498,C
499,D
500,A
501,A
502,C
503,D
504,B
505,A
506,D
507,B
508,C
509,B
510,C
511,A
512,D
513,C
514,B
515,A
516,D
517,B
518,D
519,A
520,C
521,B
522,A
523,C
524,D
525,D
526,C
527,A
528,B
529,A
530,C
531,D
532,B
533,D
534,A
535,B
536,C
537,B
538,C
539,A
540,D
541,B
542,A
543,C
544,D
545,D
546,B
547,C
548,A
549,D
550,B
551,C
552,A
553,C
554,A
555,B
556,D
557,B
558,D
559,A
560,C
561,B
562,D
563,A
564,C
565,C
566,D
567,B
568,A
569,C
570,D
571,A
572,B
573,B
574,C
575,D
576,A
577,D
578,A
579,B
580,C
581,B
582,A
583,D
584,C
585,B
586,D
587,A
588,C
589,B
590,C
591,A
592,D
593,A
594,C
595,B
596,D
597,B
598,C
599,A
600,D
601,B
602,A
603,C
604,D
605,C
606,D
607,B
608,A
609,B
610,C
611,A
612,D
613,C
614,A
615,B
616,D
617,D
618,C
619,B
620,A
621,A
622,B
623,C
624,D
625,B
626,D
627,A
628,C
629,A
630,B
631,C
632,D
633,C
634,D
635,B
636,A
637,A
638,B
639,D
640,C
641,B
642,A
643,D
644,C
645,B
646,C
647,A
648,D
649,B
650,C
651,D
652,A
653,C
654,B
655,D
656,A
657,B
658,D
659,C
660,A
661,D
662,A
663,B
664,C
665,B
666,D
667,C
668,A
669,B
670,A
671,D
672,C
673,B
674,C
675,D
676,A
677,A
678,D
679,B
680,C
681,C
682,A
683,D
684,B
685,C
686,A
687,B
688,D
689,C
690,D
691,A
692,B
693,D
694,A
695,B
696,C
697,A
698,C
699,B
700,D
701,A
702,C
703,D
704,B
705,D
706,A
707,C
708,B
709,B
710,D
711,C
712,A
713,C
714,A
715,D
716,B
717,D
718,C
719,B
720,A
721,D
722,A
723,C
724,B
725,A
726,B
727,D
728,C
729,C
730,B
731,A
732,D
733,B
734,D
735,C
736,A
737,C
738,D
739,B
740,A
